"cohort_start_date","renewal_date","cohort_size","cohort_size_at_renewal","plan","amount","currency","cohort_age_months","retention_rate"
"2019-01-01 00:00:00+01","2019-01-01 00:00:00+01","49","49","SMALL","8.95","EUR","0","1.00"
"2019-01-01 00:00:00+01","2019-02-01 00:00:00+01","49","40","SMALL","8.95","EUR","1","0.82"
"2019-01-01 00:00:00+01","2019-03-01 00:00:00+01","49","39","SMALL","8.95","EUR","2","0.80"
"2019-01-01 00:00:00+01","2019-04-01 00:00:00+02","49","37","SMALL","8.95","EUR","3","0.76"
"2019-01-01 00:00:00+01","2019-05-01 00:00:00+02","49","37","SMALL","8.95","EUR","4","0.76"
"2019-01-01 00:00:00+01","2019-06-01 00:00:00+02","49","36","SMALL","8.95","EUR","5","0.73"
"2019-01-01 00:00:00+01","2019-07-01 00:00:00+02","49","35","SMALL","8.95","EUR","6","0.71"
"2019-01-01 00:00:00+01","2019-08-01 00:00:00+02","49","35","SMALL","8.95","EUR","7","0.71"
"2019-01-01 00:00:00+01","2019-09-01 00:00:00+02","49","32","SMALL","8.95","EUR","8","0.65"
"2019-01-01 00:00:00+01","2019-10-01 00:00:00+02","49","32","SMALL","8.95","EUR","9","0.65"
"2019-01-01 00:00:00+01","2019-11-01 00:00:00+01","49","31","SMALL","8.95","EUR","10","0.63"
"2019-01-01 00:00:00+01","2019-12-01 00:00:00+01","49","28","SMALL","8.95","EUR","11","0.57"
"2019-01-01 00:00:00+01","2020-01-01 00:00:00+01","49","27","SMALL","8.95","EUR","12","0.55"
"2019-01-01 00:00:00+01","2020-02-01 00:00:00+01","49","23","SMALL","8.95","EUR","13","0.47"
"2019-01-01 00:00:00+01","2020-03-01 00:00:00+01","49","22","SMALL","8.95","EUR","14","0.45"
"2019-01-01 00:00:00+01","2020-04-01 00:00:00+02","49","20","SMALL","8.95","EUR","15","0.41"
"2019-01-01 00:00:00+01","2020-05-01 00:00:00+02","49","19","SMALL","8.95","EUR","16","0.39"
"2019-01-01 00:00:00+01","2020-06-01 00:00:00+02","49","19","SMALL","8.95","EUR","17","0.39"
"2019-01-01 00:00:00+01","2020-07-01 00:00:00+02","49","17","SMALL","8.95","EUR","18","0.35"
"2019-01-01 00:00:00+01","2020-08-01 00:00:00+02","49","16","SMALL","8.95","EUR","19","0.33"
"2019-01-01 00:00:00+01","2020-09-01 00:00:00+02","49","10","SMALL","8.95","EUR","20","0.20"
